station,site,latitude,longitude,elevation
ACH,"Angle Creek Headwaters, Katmai, Alaska",58.21,-155.3281,960
ADAG,"Mount Adagdak, Regional Station, Alaska",51.98,-176.6001,281
ADKI,"Adak infrasound array, Adak Island, Alaska",51.8619,-176.6439,5
AHB,"Akutan Harbor, Akutan Volcano, Alaska",54.1144,-165.8177,447
AKBB,"Akutan Broiad Bright, Akutan Volcano, Alaska",54.0975,-165.9338,310
AKGG,"Akutan Green Grass, Akutan Volcano, AK",54.1979,-165.9936,326
AKHS,"Akutan Broiad Bright, Akutan Volcano, Alaska",54.1533,-165.8868,150
AKLV,"Akutan Long Valley, Akutan Volcano, Alaska",54.1618,-165.9576,551
AKMO,"Akutan Morgan, Akutan Volcano, Alaska",54.0903,-166.0126,277
AKRB,"Akutan Reef Bight, Akutan Volcano, Alaska",54.1292,-166.0708,334
AKS,"Akutan Strait, Akutan Volcano, Alaska",54.1095,-165.6987,213
AKSA,"Akutan Strait, Akutan Volcano, Alaska",54.1095,-165.6987,213
AKT,"Akutan, Akutan Volcano, Alaska",54.1349,-165.772,12
AKV,"Akutan Volcano, Akutan Volcano, Alaska",54.1253,-165.9647,863
AMKA,"Amchitka Island, Regional Station, Alaska",51.3771,179.3,116
ANCK,"Angle Creek, Katmai Volcanic Cluster, Alaska",58.1981,-155.4961,869
ANNE,"Aniakchak Northeast, Alaska",56.9119,-158.061,705
ANNW,"Aniakchak Volcano, North West, Alaska",56.9656,-158.217,816
ANON,"Aniakchak Anonymous, Alaska",56.919,-158.1737,445
ANPB,"Aniakchak Pleny Bear, Alaska",56.8016,-158.2829,658
ANPK,"Aniakchak Peak, Alaska",56.8409,-158.1283,972
AU20,"Augustine Mound, Augustine Volcano, Alaska",59.3696,-153.3563,102
AU22,"Augustine Mound, Augustine Volcano, Alaska",59.3702,-153.3573,105
AUCH,"Augustine Cone H, Augustine Volcano, Alaska",59.3626,-153.4447,916
AUE,"Augustine East, Cook Inlet, Alaska",59.3711,-153.3773,168
AUH,"Dome H, Augustine Volcano, Alaska",59.3632,-153.4454,890
AUI,"Augustine Island, Cook Inlet, Alaska",59.3345,-153.4299,293
AUJA,"Augustine Junction, Augustine Volcano, Alaska",59.3395,-153.4227,376
AUJK,"Augustine Jurgen Kienle, Cook Inlet, Alaska",59.3493,-153.4106,377
AUL,"Lava Flow, Augustine Volcano, Alaska",59.3816,-153.4379,360
AULG,"Augustine Lagoon, Augustine Island, Alaska",59.3773,-153.5193,5
AUNO,"Augustine North, Augustine Island, Alaska",59.4041,-153.4513,89
AUNW,"Augustine Northwest, Augustine Volcano, Alaska",59.3775,-153.479,160
AUP,"Augustine Pinnacle, Cook Inlet, Alaska",59.3627,-153.4226,1033
