"ID","Lon","Lat","Elev(ft)","Elev(m)"
1,-153.2000,60.4852,4503.37,1372.63
2,-153.1960,60.4852,4439.30,1353.10
3,-153.1920,60.4852,4544.25,1385.09
4,-153.1880,60.4852,4711.98,1436.21
5,-153.1839,60.4852,5005.20,1525.58
6,-153.1799,60.4852,4332.38,1320.51
7,-153.1759,60.4852,3758.27,1145.52
8,-153.1719,60.4852,3455.08,1053.11
9,-153.1679,60.4852,3599.18,1097.03
10,-153.1639,60.4852,3955.81,1205.73
11,-153.1598,60.4852,4414.21,1345.45
12,-153.1558,60.4852,4340.45,1322.97
13,-153.1518,60.4852,3956.67,1205.99
14,-153.1478,60.4852,3684.02,1122.89
15,-153.1438,60.4852,3673.35,1119.64
16,-153.1398,60.4852,3838.14,1169.87
17,-153.1357,60.4852,4293.38,1308.62
18,-153.1317,60.4852,4153.84,1266.09
19,-153.1277,60.4852,3412.96,1040.27
20,-153.1237,60.4852,3164.84,964.64
21,-153.1197,60.4852,2928.82,892.70
22,-153.1157,60.4852,2837.99,865.02
23,-153.1116,60.4852,2753.85,839.37
24,-153.1076,60.4852,2634.20,802.90
25,-153.1036,60.4852,2463.02,750.73
26,-153.0996,60.4852,2248.95,685.48
27,-153.0956,60.4852,1786.36,544.48
28,-153.0916,60.4852,1538.07,468.80
29,-153.0876,60.4852,1425.47,434.48
30,-153.0835,60.4852,1361.86,415.09
31,-153.0795,60.4852,1562.58,476.27
32,-153.0755,60.4852,1980.09,603.53
33,-153.0715,60.4852,2370.08,722.40
34,-153.0675,60.4852,2782.01,847.96
35,-153.0635,60.4852,2938.31,895.60
36,-153.0594,60.4852,3313.48,1009.95
37,-153.0554,60.4852,3636.97,1108.55
38,-153.0514,60.4852,3928.25,1197.33
39,-153.0474,60.4852,3736.60,1138.92
40,-153.0434,60.4852,3811.70,1161.81
41,-153.0394,60.4852,4091.57,1247.11
42,-153.0353,60.4852,4254.59,1296.80
43,-153.0313,60.4852,4424.31,1348.53
44,-153.0273,60.4852,4624.93,1409.68
45,-153.0233,60.4852,4734.73,1443.15
46,-153.0193,60.4852,4914.62,1497.98
47,-153.0153,60.4852,4347.16,1325.01
48,-153.0112,60.4852,4136.75,1260.88
49,-153.0072,60.4852,4081.42,1244.02
50,-153.0032,60.4852,3878.56,1182.19
51,-152.9992,60.4852,3704.89,1129.25
52,-152.9952,60.4852,3470.37,1057.77
53,-152.9912,60.4852,3414.70,1040.80
54,-152.9871,60.4852,3379.88,1030.19
55,-152.9831,60.4852,3214.36,979.74
56,-152.9791,60.4852,3025.37,922.13
57,-152.9751,60.4852,2942.68,896.93
58,-152.9711,60.4852,2921.30,890.41
59,-152.9671,60.4852,2861.33,872.13
60,-152.9631,60.4852,2797.87,852.79
61,-152.9590,60.4852,2642.41,805.41
62,-152.9550,60.4852,2793.56,851.48
63,-152.9510,60.4852,2923.47,891.07
64,-152.9470,60.4852,2732.51,832.87
65,-152.9430,60.4852,2267.59,691.16
66,-152.9390,60.4852,1677.31,511.24
67,-152.9349,60.4852,1393.84,424.84
68,-152.9309,60.4852,1408.27,429.24
69,-152.9269,60.4852,1404.08,427.96
70,-152.9229,60.4852,1540.12,469.43
71,-152.9189,60.4852,1871.65,570.48
72,-152.9149,60.4852,2327.40,709.39
73,-152.9108,60.4852,2941.14,896.46
74,-152.9068,60.4852,3226.16,983.33
75,-152.9028,60.4852,3175.91,968.02
76,-152.8988,60.4852,2994.30,912.66
77,-152.8948,60.4852,2895.12,882.43
78,-152.8908,60.4852,2867.02,873.87
79,-152.8867,60.4852,2814.16,857.76
80,-152.8827,60.4852,2954.77,900.61
81,-152.8787,60.4852,3275.42,998.35
82,-152.8747,60.4852,3497.34,1065.99
83,-152.8707,60.4852,3663.68,1116.69
84,-152.8667,60.4852,3702.79,1128.61
85,-152.8627,60.4852,3737.35,1139.14
86,-152.8586,60.4852,3853.49,1174.54
87,-152.8546,60.4852,4121.20,1256.14
88,-152.8506,60.4852,4443.26,1354.31
89,-152.8466,60.4852,4967.70,1514.15
90,-152.8426,60.4852,5032.12,1533.79
91,-152.8386,60.4852,5101.69,1555.00
92,-152.8345,60.4852,5179.84,1578.82
93,-152.8305,60.4852,5264.83,1604.72
94,-152.8265,60.4852,5350.51,1630.84
95,-152.8225,60.4852,5489.52,1673.21
96,-152.8185,60.4852,5667.88,1727.57
97,-152.8145,60.4852,5865.97,1787.95
98,-152.8104,60.4852,5986.74,1824.76
99,-152.8064,60.4852,6231.56,1899.38
100,-152.8024,60.4852,6448.37,1965.46
101,-152.7984,60.4852,6781.11,2066.88
102,-152.7944,60.4852,7038.44,2145.32
103,-152.7904,60.4852,7625.26,2324.18
104,-152.7863,60.4852,7939.75,2420.04
105,-152.7823,60.4852,8565.10,2610.64
106,-152.7783,60.4852,8610.92,2624.61
107,-152.7743,60.4852,8561.56,2609.56
108,-152.7703,60.4852,8457.43,2577.82
109,-152.7663,60.4852,8104.57,2470.27
110,-152.7622,60.4852,8012.36,2442.17
111,-152.7582,60.4852,8179.59,2493.14
112,-152.7542,60.4852,8525.93,2598.70
113,-152.7502,60.4852,8866.00,2702.36
114,-152.7462,60.4852,9360.60,2853.11
115,-152.7422,60.4852,10109.60,3081.41
