"ID","Lon","Lat","Elev(ft)","Elev(m)"
251,-152.7438,60.2000,0.00,0.00
252,-152.7438,60.2020,0.00,0.00
253,-152.7438,60.2040,4.60,1.40
254,-152.7438,60.2060,1.81,0.55
255,-152.7438,60.2080,2.77,0.84
256,-152.7438,60.2100,2.58,0.79
257,-152.7438,60.2120,0.00,0.00
258,-152.7438,60.2141,0.00,0.00
259,-152.7438,60.2161,0.00,0.00
260,-152.7438,60.2181,1.48,0.45
261,-152.7438,60.2201,8.40,2.56
262,-152.7438,60.2221,7.89,2.40
263,-152.7438,60.2241,8.32,2.54
264,-152.7438,60.2261,431.54,131.53
265,-152.7438,60.2281,193.68,59.03
266,-152.7438,60.2301,69.07,21.05
267,-152.7438,60.2321,48.77,14.87
268,-152.7438,60.2341,11.45,3.49
269,-152.7438,60.2361,18.82,5.74
270,-152.7438,60.2382,173.58,52.91
271,-152.7438,60.2402,189.28,57.69
272,-152.7438,60.2422,149.57,45.59
273,-152.7438,60.2442,232.70,70.93
274,-152.7438,60.2462,251.60,76.69
275,-152.7438,60.2482,185.71,56.60
276,-152.7438,60.2502,218.99,66.75
277,-152.7438,60.2522,217.50,66.29
278,-152.7438,60.2542,269.78,82.23
279,-152.7438,60.2562,359.29,109.51
280,-152.7438,60.2582,494.61,150.76
281,-152.7438,60.2602,644.10,196.32
282,-152.7438,60.2622,848.70,258.68
283,-152.7438,60.2643,1170.35,356.72
284,-152.7438,60.2663,1494.74,455.60
285,-152.7438,60.2683,1855.99,565.71
286,-152.7438,60.2703,1909.90,582.14
287,-152.7438,60.2723,1887.31,575.25
288,-152.7438,60.2743,1815.26,553.29
289,-152.7438,60.2763,1766.93,538.56
290,-152.7438,60.2783,1734.33,528.62
291,-152.7438,60.2803,1747.69,532.70
292,-152.7438,60.2823,1930.85,588.52
293,-152.7438,60.2843,1921.22,585.59
294,-152.7438,60.2863,1954.01,595.58
295,-152.7438,60.2884,2047.82,624.18
296,-152.7438,60.2904,2114.23,644.42
297,-152.7438,60.2924,2247.63,685.08
298,-152.7438,60.2944,2547.36,776.44
299,-152.7438,60.2964,2678.35,816.36
300,-152.7438,60.2984,3024.82,921.97
301,-152.7438,60.3004,3258.14,993.08
302,-152.7438,60.3024,3162.08,963.80
303,-152.7438,60.3044,3212.33,979.12
304,-152.7438,60.3064,2539.26,773.97
305,-152.7438,60.3084,2049.25,624.61
306,-152.7438,60.3104,2014.19,613.93
307,-152.7438,60.3124,2303.59,702.13
308,-152.7438,60.3145,2504.21,763.28
309,-152.7438,60.3165,2841.04,865.95
310,-152.7438,60.3185,3123.90,952.16
311,-152.7438,60.3205,2985.65,910.03
312,-152.7438,60.3225,2689.74,819.83
313,-152.7438,60.3245,2282.49,695.70
314,-152.7438,60.3265,2047.83,624.18
315,-152.7438,60.3285,1954.95,595.87
316,-152.7438,60.3305,1727.70,526.60
317,-152.7438,60.3325,1302.72,397.07
318,-152.7438,60.3345,952.90,290.44
319,-152.7438,60.3365,594.01,181.05
320,-152.7438,60.3386,671.45,204.66
321,-152.7438,60.3406,801.25,244.22
322,-152.7438,60.3426,1002.90,305.68
323,-152.7438,60.3446,1010.45,307.99
324,-152.7438,60.3466,855.98,260.90
325,-152.7438,60.3486,683.72,208.40
326,-152.7438,60.3506,584.44,178.14
327,-152.7438,60.3526,482.69,147.12
328,-152.7438,60.3546,391.56,119.35
329,-152.7438,60.3566,411.88,125.54
330,-152.7438,60.3586,421.06,128.34
331,-152.7438,60.3606,457.80,139.54
332,-152.7438,60.3627,469.76,143.18
333,-152.7438,60.3647,492.45,150.10
334,-152.7438,60.3667,498.85,152.05
335,-152.7438,60.3687,512.20,156.12
336,-152.7438,60.3707,528.34,161.04
337,-152.7438,60.3727,537.98,163.98
