"ID","Lon","Lat","Elev(ft)","Elev(m)"
1,-119.1500,37.7100,10042.67,3061.01
2,-119.1496,37.7097,10072.18,3070.00
3,-119.1491,37.7094,10105.14,3080.05
4,-119.1487,37.7091,10119.63,3084.46
5,-119.1483,37.7088,10159.15,3096.51
6,-119.1479,37.7086,10202.10,3109.60
7,-119.1474,37.7083,10223.86,3116.23
8,-119.1470,37.7080,10239.90,3121.12
9,-119.1466,37.7077,10267.06,3129.40
10,-119.1462,37.7074,10209.53,3111.86
11,-119.1457,37.7071,10125.16,3086.15
12,-119.1453,37.7068,10032.22,3057.82
13,-119.1449,37.7065,9964.92,3037.31
14,-119.1445,37.7063,9959.74,3035.73
15,-119.1440,37.7060,9906.58,3019.53
16,-119.1436,37.7057,9903.12,3018.47
17,-119.1432,37.7054,9903.81,3018.68
18,-119.1428,37.7051,9927.70,3025.96
19,-119.1423,37.7048,9974.72,3040.29
20,-119.1419,37.7045,9923.12,3024.57
21,-119.1415,37.7042,9894.98,3015.99
22,-119.1411,37.7039,9871.40,3008.80
23,-119.1406,37.7037,9851.05,3002.60
24,-119.1402,37.7034,9827.95,2995.56
25,-119.1398,37.7031,9813.33,2991.10
26,-119.1393,37.7028,9813.58,2991.18
27,-119.1389,37.7025,9833.85,2997.36
28,-119.1385,37.7022,9911.41,3021.00
29,-119.1381,37.7019,9956.54,3034.75
30,-119.1376,37.7016,9976.48,3040.83
31,-119.1372,37.7014,9983.18,3042.87
32,-119.1368,37.7011,9954.40,3034.10
33,-119.1364,37.7008,9928.29,3026.14
34,-119.1359,37.7005,9856.15,3004.15
35,-119.1355,37.7002,9716.67,2961.64
36,-119.1351,37.6999,9585.98,2921.81
37,-119.1347,37.6996,9491.26,2892.94
38,-119.1342,37.6993,9416.75,2870.23
39,-119.1338,37.6990,9375.02,2857.51
40,-119.1334,37.6988,9365.66,2854.65
41,-119.1330,37.6985,9314.22,2838.97
42,-119.1325,37.6982,9249.81,2819.34
43,-119.1321,37.6979,9191.39,2801.54
44,-119.1317,37.6976,9139.02,2785.57
45,-119.1313,37.6973,9098.50,2773.22
46,-119.1308,37.6970,9028.99,2752.04
47,-119.1304,37.6967,8986.63,2739.12
48,-119.1300,37.6965,8966.86,2733.10
49,-119.1295,37.6962,8943.33,2725.93
50,-119.1291,37.6959,8921.01,2719.12
51,-119.1287,37.6956,8880.45,2706.76
52,-119.1283,37.6953,8819.60,2688.21
53,-119.1278,37.6950,8741.15,2664.30
54,-119.1274,37.6947,8800.92,2682.52
55,-119.1270,37.6944,8957.99,2730.40
56,-119.1266,37.6941,9114.77,2778.18
57,-119.1261,37.6939,9191.78,2801.65
58,-119.1257,37.6936,9213.41,2808.25
59,-119.1253,37.6933,9207.54,2806.46
60,-119.1249,37.6930,9123.64,2780.89
61,-119.1244,37.6927,9087.29,2769.81
62,-119.1240,37.6924,9074.24,2765.83
63,-119.1236,37.6921,9119.24,2779.54
64,-119.1232,37.6918,9242.68,2817.17
65,-119.1227,37.6916,9318.64,2840.32
66,-119.1223,37.6913,9375.54,2857.66
67,-119.1219,37.6910,9423.93,2872.41
68,-119.1215,37.6907,9452.31,2881.06
69,-119.1210,37.6904,9407.55,2867.42
70,-119.1206,37.6901,9339.25,2846.60
71,-119.1202,37.6898,9201.72,2804.68
72,-119.1197,37.6895,9158.32,2791.46
73,-119.1193,37.6892,9080.84,2767.84
74,-119.1189,37.6890,9081.44,2768.02
75,-119.1185,37.6887,9057.82,2760.82
76,-119.1180,37.6884,9011.28,2746.64
77,-119.1176,37.6881,9012.25,2746.93
78,-119.1172,37.6878,8933.22,2722.85
79,-119.1168,37.6875,8973.01,2734.97
80,-119.1163,37.6872,8904.60,2714.12
81,-119.1159,37.6869,8848.04,2696.88
82,-119.1155,37.6867,8800.13,2682.28
83,-119.1151,37.6864,8730.78,2661.14
84,-119.1146,37.6861,8659.05,2639.28
85,-119.1142,37.6858,8607.46,2623.55
86,-119.1138,37.6855,8553.92,2607.23
87,-119.1134,37.6852,8541.26,2603.38
88,-119.1129,37.6849,8525.45,2598.56
89,-119.1125,37.6846,8535.89,2601.74
90,-119.1121,37.6843,8552.64,2606.84
91,-119.1117,37.6841,8547.07,2605.15
92,-119.1112,37.6838,8568.44,2611.66
93,-119.1108,37.6835,8622.51,2628.14
94,-119.1104,37.6832,8653.97,2637.73
95,-119.1099,37.6829,8657.90,2638.93
96,-119.1095,37.6826,8693.10,2649.66
97,-119.1091,37.6823,8712.78,2655.66
98,-119.1087,37.6820,8695.03,2650.25
