"ID","Lon","Lat","Elev(ft)","Elev(m)"
1,-119.1500,37.5500,6829.89,2081.75
2,-119.1496,37.5503,6841.69,2085.35
3,-119.1491,37.5506,6846.38,2086.78
4,-119.1487,37.5509,6848.02,2087.28
5,-119.1483,37.5512,6859.83,2090.88
6,-119.1479,37.5515,6890.65,2100.27
7,-119.1474,37.5518,6925.65,2110.94
8,-119.1470,37.5521,6961.54,2121.88
9,-119.1466,37.5524,6971.53,2124.92
10,-119.1462,37.5527,6972.43,2125.20
11,-119.1457,37.5529,6971.86,2125.02
12,-119.1453,37.5532,6951.80,2118.91
13,-119.1449,37.5535,6963.87,2122.59
14,-119.1445,37.5538,7003.20,2134.58
15,-119.1440,37.5541,7072.54,2155.71
16,-119.1436,37.5544,7120.83,2170.43
17,-119.1432,37.5547,7148.92,2178.99
18,-119.1428,37.5550,7163.15,2183.33
19,-119.1423,37.5553,7174.75,2186.86
20,-119.1419,37.5556,7199.21,2194.32
21,-119.1415,37.5559,7221.60,2201.14
22,-119.1411,37.5562,7252.93,2210.69
23,-119.1406,37.5565,7288.06,2221.40
24,-119.1402,37.5568,7311.93,2228.68
25,-119.1398,37.5571,7340.59,2237.41
26,-119.1393,37.5574,7377.07,2248.53
27,-119.1389,37.5577,7408.07,2257.98
28,-119.1385,37.5580,7451.74,2271.29
29,-119.1381,37.5582,7484.63,2281.32
30,-119.1376,37.5585,7525.72,2293.84
31,-119.1372,37.5588,7567.88,2306.69
32,-119.1368,37.5591,7616.73,2321.58
33,-119.1364,37.5594,7682.70,2341.69
34,-119.1359,37.5597,7719.10,2352.78
35,-119.1355,37.5600,7766.57,2367.25
36,-119.1351,37.5603,7808.73,2380.10
37,-119.1347,37.5606,7820.71,2383.75
38,-119.1342,37.5609,7859.70,2395.64
39,-119.1338,37.5612,7882.30,2402.53
40,-119.1334,37.5615,7919.22,2413.78
41,-119.1330,37.5618,7957.37,2425.41
42,-119.1325,37.5621,7973.20,2430.23
43,-119.1321,37.5624,8000.28,2438.49
44,-119.1317,37.5627,8027.68,2446.84
45,-119.1313,37.5630,8066.80,2458.76
46,-119.1308,37.5633,8108.05,2471.33
47,-119.1304,37.5635,8169.35,2490.02
48,-119.1300,37.5638,8240.42,2511.68
