"ID","Lon","Lat","Elev(ft)","Elev(m)"
1,-153.8300,59.3630,0.00,0.00
2,-153.8260,59.3630,0.00,0.00
3,-153.8220,59.3630,0.00,0.00
4,-153.8179,59.3630,0.00,0.00
5,-153.8139,59.3630,0.00,0.00
6,-153.8099,59.3630,0.00,0.00
7,-153.8059,59.3630,0.00,0.00
8,-153.8019,59.3630,0.00,0.00
9,-153.7978,59.3630,0.00,0.00
10,-153.7938,59.3630,0.00,0.00
11,-153.7898,59.3630,0.00,0.00
12,-153.7858,59.3630,0.00,0.00
13,-153.7818,59.3630,0.00,0.00
14,-153.7777,59.3630,0.00,0.00
15,-153.7737,59.3630,0.00,0.00
16,-153.7697,59.3630,0.00,0.00
17,-153.7657,59.3630,0.00,0.00
18,-153.7617,59.3630,0.00,0.00
19,-153.7576,59.3630,0.00,0.00
20,-153.7536,59.3630,0.00,0.00
21,-153.7496,59.3630,0.00,0.00
22,-153.7456,59.3630,0.00,0.00
23,-153.7416,59.3630,0.00,0.00
24,-153.7375,59.3630,0.00,0.00
25,-153.7335,59.3630,0.00,0.00
26,-153.7295,59.3630,0.00,0.00
27,-153.7255,59.3630,0.00,0.00
28,-153.7215,59.3630,0.00,0.00
29,-153.7174,59.3630,0.00,0.00
30,-153.7134,59.3630,0.00,0.00
31,-153.7094,59.3630,0.00,0.00
32,-153.7054,59.3630,0.00,0.00
33,-153.7014,59.3630,0.00,0.00
34,-153.6973,59.3630,0.00,0.00
35,-153.6933,59.3630,0.00,0.00
36,-153.6893,59.3630,0.00,0.00
37,-153.6853,59.3630,0.00,0.00
38,-153.6813,59.3630,0.00,0.00
39,-153.6772,59.3630,0.00,0.00
40,-153.6732,59.3630,0.00,0.00
41,-153.6692,59.3630,0.00,0.00
42,-153.6652,59.3630,0.00,0.00
43,-153.6612,59.3630,0.00,0.00
44,-153.6571,59.3630,0.00,0.00
45,-153.6531,59.3630,0.00,0.00
46,-153.6491,59.3630,0.00,0.00
47,-153.6451,59.3630,0.00,0.00
48,-153.6411,59.3630,0.00,0.00
49,-153.6370,59.3630,0.00,0.00
50,-153.6330,59.3630,0.00,0.00
51,-153.6290,59.3630,0.00,0.00
52,-153.6250,59.3630,0.00,0.00
53,-153.6210,59.3630,0.00,0.00
54,-153.6169,59.3630,0.00,0.00
55,-153.6129,59.3630,0.00,0.00
56,-153.6089,59.3630,0.00,0.00
57,-153.6049,59.3630,0.00,0.00
58,-153.6009,59.3630,0.00,0.00
59,-153.5968,59.3630,0.00,0.00
60,-153.5928,59.3630,0.00,0.00
61,-153.5888,59.3630,0.00,0.00
62,-153.5848,59.3630,0.00,0.00
63,-153.5808,59.3630,0.00,0.00
64,-153.5767,59.3630,0.00,0.00
65,-153.5727,59.3630,0.00,0.00
66,-153.5687,59.3630,0.00,0.00
67,-153.5647,59.3630,0.00,0.00
68,-153.5607,59.3630,0.00,0.00
69,-153.5566,59.3630,0.00,0.00
70,-153.5526,59.3630,0.00,0.00
71,-153.5486,59.3630,6.21,1.89
72,-153.5446,59.3630,52.84,16.11
73,-153.5406,59.3630,37.93,11.56
74,-153.5365,59.3630,54.73,16.68
75,-153.5325,59.3630,50.61,15.43
76,-153.5285,59.3630,58.99,17.98
77,-153.5245,59.3630,77.94,23.76
78,-153.5205,59.3630,111.04,33.84
79,-153.5164,59.3630,132.17,40.29
80,-153.5124,59.3630,164.27,50.07
81,-153.5084,59.3630,206.49,62.94
82,-153.5044,59.3630,259.29,79.03
83,-153.5004,59.3630,338.38,103.14
84,-153.4963,59.3630,426.61,130.03
85,-153.4923,59.3630,490.11,149.39
86,-153.4883,59.3630,595.15,181.40
87,-153.4843,59.3630,724.08,220.70
88,-153.4803,59.3630,846.62,258.05
89,-153.4762,59.3630,970.18,295.71
90,-153.4722,59.3630,1096.36,334.17
91,-153.4682,59.3630,1242.06,378.58
92,-153.4642,59.3630,1368.33,417.07
93,-153.4602,59.3630,1558.85,475.14
94,-153.4561,59.3630,1793.79,546.75
95,-153.4521,59.3630,2231.04,680.02
96,-153.4481,59.3630,2605.63,794.20
97,-153.4441,59.3630,2950.06,899.18
98,-153.4401,59.3630,3125.00,952.50
99,-153.4360,59.3630,3518.26,1072.37
100,-153.4320,59.3630,3773.97,1150.31
101,-153.4280,59.3630,3826.75,1166.39
102,-153.4240,59.3630,3434.60,1046.87
103,-153.4199,59.3630,3064.55,934.07
104,-153.4159,59.3630,2497.06,761.10
105,-153.4119,59.3630,1976.94,602.57
106,-153.4079,59.3630,1630.72,497.04
107,-153.4039,59.3630,1484.70,452.54
108,-153.3998,59.3630,1323.32,403.35
109,-153.3958,59.3630,1143.43,348.52
110,-153.3918,59.3630,982.64,299.51
111,-153.3878,59.3630,850.35,259.19
112,-153.3838,59.3630,727.95,221.88
113,-153.3797,59.3630,642.06,195.70
114,-153.3757,59.3630,542.31,165.30
115,-153.3717,59.3630,472.30,143.96
116,-153.3677,59.3630,407.53,124.22
117,-153.3637,59.3630,323.85,98.71
118,-153.3596,59.3630,272.15,82.95
119,-153.3556,59.3630,208.66,63.60
120,-153.3516,59.3630,185.16,56.44
121,-153.3476,59.3630,154.89,47.21
122,-153.3436,59.3630,59.06,18.00
123,-153.3395,59.3630,0.00,0.00
124,-153.3355,59.3630,0.00,0.00
125,-153.3315,59.3630,0.00,0.00
