Client,Station,Network,Channels,Location,Downloaded,Used in REDPy,N(picks) in 4 month NCEDC catalog,Use in EQcorrscan
NCEDC,MINS,NC,"HHZ, HHE, HHN",--,no,yes,1355,yes
NCEDC,MDPB,NC,"HHZ, HHE, HHN",--,no,yes,888,yes
IRIS,OMMB,NN,"HHZ, HHE, HHN",--,no,yes,797,yes
NCEDC,MRD,NC,EHZ,02,no,yes,776,yes
NCEDC,MDC,NC,EHZ,02,no,yes,726,yes
NCEDC,MCM,NC,EHZ,02,no,yes,454,yes
NCEDC,MMP,NC,EHZ,--,no,yes,394,yes
NCEDC,MLC,NC,EHZ,--,no,yes,356,yes
NCEDC,MCV,NC,EHZ,--,no,yes,317,yes
IRIS,MB01,8E,"HHZ, HHE, HHN",--,no,yes,0,yes
IRIS,MB02,8E,"HHZ, HHE, HHN",--,no,yes,0,yes
IRIS,MB03,8E,"HHZ, HHE, HHN",--,no,yes,0,yes
IRIS,MB05,8E,"HHZ, HHE, HHN",--,no,yes,0,yes
IRIS,MB06,8E,"HHZ, HHE, HHN",--,no,yes,0,yes
IRIS,MB07,8E,"HHZ, HHE, HHN",--,no,yes,0,yes
IRIS,MB08,8E,"HHZ, HHE, HHN",--,no,yes,0,yes
IRIS,MB09,8E,"HHZ, HHE, HHN",--,no,yes,0,yes
IRIS,MB10,8E,"HHZ, HHE, HHN",--,no,yes,0,yes
IRIS,MB11,8E,"HHZ, HHE, HHN",--,no,yes,0,yes
NCEDC,MQ1P,NC,"EHZ, EHE, EHN",--,no,no,774,no
NCEDC,MMS,NC,EHZ,--,no,no,549,no
NCEDC,MCY,NC,"EHZ, EHE, EHN",--,no,no,507,no
NCEDC,MDY,NC,"HHZ, HHE, HHN",--,no,no,364,no
NCEDC,MLI,NC,"HHZ, HHE, HHN",--,no,no,285,no
NCEDC,MGPB,NC,EHZ,--,no,no,222,no
NCEDC,MLK,NC,EHZ,--,no,no,143,no
NCEDC,MEM,NC,EHZ,--,no,no,129,no
NCEDC,MDR,NC,EHZ,02,no,no,124,no
NCEDC,MMLB,NC,"HHZ, HHE, HHN",--,no,no,118,no
NCEDC,MCB,NC,"HHZ, HHE, HHN",--,no,no,85,no
IRIS,MLAC,CI,"HHZ, HHE, HHN",--,no,no,43,no
NCEDC,MCS,NC,EHZ,--,no,no,33,no
NCEDC,MLH,NC,EHZ,--,no,no,16,no
NCEDC,MLM,NC,EHZ,--,no,no,8,no
IRIS,MB04,8E,"HHZ, HHE, HHN",--,no,no,0,yes
NCEDC,MDP1,NC,EP? ,--,no,no,354,no
NCEDC,MMX1,NC,"EP?, HN?",--,no,no,240,no
NCEDC,MBS1,NC,"EP1, EP2",--,no,no,80,no
NCEDC,MDH1,NC,"DP1, DP2",--,no,no,65,no
NCEDC,MSL,NC,?,?,no,no,0,yes
NCEDC,MCO,NC,?,?,no,no,0,no
