station,latitude,longitude,elevation,,,,,,,,,
MINS,37.6538,-119.0609,2796,,,,,,,,,
MDPB,37.6323,-119.0794,2360,,,,,,,,,
OMMB,37.6131,-119.0005,2768,,,,,,,,,
MRD,37.5978,-119.0587,2657,,,,,,,,,
MDC,37.7097,-119.0418,2493,,,,,,,,,
MCM,37.6092,-118.8734,2219,,,,,,,,,
MMP,37.6097,-119.0287,2818,,,,,,,,,
MLC,37.6121,-118.9153,2471,,,,,,,,,
MCV,37.59,-118.8291,2542,,,,,,,,,
MB01,37.628,-119.0304,3322,,,,,,,,,
MB02,37.6292,-119.0377,3184,,,,,,,,,
MB03,37.6389,-119.0339,3003,,,,,,,,,
MB05,37.6184,-119.0273,2879,,,,,,,,,
MB06,37.6165,-119.0477,2782,,,,,,,,,
MB07,37.6339,-119.0468,3032,,,,,,,,,
MB08,37.6457,-119.0286,2860,,,,,,,,,
MB09,37.6328,-119.0045,2663,,,,,,,,,
MB10,37.6433,-119.0582,2890,,,,,,,,,
MB11,37.6114,-119.021,2738,,,,,,,,,
MQ1P,37.6128,-119.0213,2740,,,,,,,,,
MMS,37.6304,-119.0317,3324,,,,,,,,,
MCY,37.6429,-119.0291,2943,,,,,,,,,
MDY,37.658,-119.0122,2789,,,,,,,,,
MLI,37.6368,-119.0179,3075,,,,,,,,,
MGPB,37.6261,-118.9029,2190,,,,,,,,,
MLK,37.6641,-118.9765,2644,,,,,,,,,
MEM,37.666,-118.9398,2473,,,,,,,,,
MDR,37.638,-118.8359,2191,,,,,,,,,
MMLB,37.6591,-118.9791,2656,,,,,,,,,
MCB,37.6444,-118.8968,2391,,,,,,,,,
MLAC,37.6302,-118.8361,2162,,,,,,,,,
MCS,37.6549,-118.9058,2417,,,,,,,,,
MLH,37.6786,-118.815,2101,,,,,,,,,
MLM,37.728,-118.9469,2501,,,,,,,,,
MB04,37.6302,-119.017,2895,,,,,,,,,
MDP1,37.6325,-119.0797,2153,,,,,,,,,
MMX1,37.6171,-118.9598,2305,,,,,,,,,
MBS1,37.761,-118.9445,2025,,,,,,,,,
MDH1,37.6798,-118.9088,113,,,,,,,,,
MSL,37.6167,-118.9566,2479,,,,,,,,,
MCO,37.619,-118.863,2186,,,,,,,,,
