Client,Station,Network,Channels,Location,Latitude,Longitude,Elevation
IRIS,ACH,AV,BHZ,--,58.21,-155.3281,960
IRIS,ANCK,AV,BHZ,--,58.1981,-155.4961,869
IRIS,CAHL,AV,BHZ,--,58.0518,-155.3036,807
IRIS,KAB2,AV,BHZ,--,58.13116,-154.97616,908
IRIS,KABU,AV,BHZ,--,58.2702,-155.2843,1065
IRIS,KAKN,AV,BHZ,--,58.2963,-155.0632,1049
IRIS,KAVE,AV,BHZ,--,58.19782,-155.02341,702
IRIS,KAWH,AV,BHZ,--,58.383,-154.8013,777
IRIS,KBM,AV,BHZ,--,58.2743,-155.2038,732
IRIS,KVT,AV,BHZ,--,58.381,-155.2971,457
IRIS,MGLS,AV,BHZ,--,58.1336,-155.1629,472
