color,alert,year,month,day,hh,mm,utc_shift
green,normal,2005,5,1,0,0,-8
yellow,advisory,2005,11,29,12,15,-9
orange,watch,2006,1,10,21,13,-9
red,warning,2006,1,11,5,53,-9
orange,watch,2006,1,12,8,26,-9
red,warning,2006,1,13,4,1,-9
orange,watch,2006,1,15,9,47,-9
red,warning,2006,1,17,8,4,-9
orange,watch,2006,1,18,9,25,-9
red,warning,2006,1,27,20,38,-9
orange,watch,2006,2,1,9,50,-9
yellow,advisory,2006,4,28,9,49,-8
green,normal,2006,8,9,15,4,-8
yellow,advisory,2007,9,22,7,9,-8
green,normal,2007,10,12,11,57,-8
