event_number,year,month,day,hh,mm
0,2009,3,15,21,5
1,2009,3,23,6,34
2,2009,3,23,7,2
3,2009,3,23,8,14
4,2009,3,23,9,38
reanalysis,2009,3,23,9,48
reanalysis,2009,3,23,10,52
5,2009,3,23,12,30
reanalysis,2009,3,23,12,58
6,2009,3,24,3,40
reanalysis,2009,3,24,13,12
7,2009,3,26,16,34
8,2009,3,26,17,24
9,2009,3,27,7,47
10,2009,3,27,8,28
reanalysis,2009,3,27,8,43
11,2009,3,27,16,39
12,2009,3,28,1,34
13,2009,3,28,3,24
14,2009,3,28,7,19
15,2009,3,28,9,19
reanalysis,2009,3,28,10,0
16,2009,3,28,21,40
17,2009,3,28,23,29
18,2009,3,29,3,23
reanalysis,2009,3,30,17,44
reanalysis,2009,3,30,18,50
reanalysis,2009,4,1,0,7
19,2009,4,4,13,58
reanalysis,2009,4,4,14,16
reanalysis,2009,4,5,18,36
