#  2013  1 28 13 34 11.14  37.6232 -119.0227    2.690  0.03 0.00 0.00 0.00          1
MCY 1.315 1.00   P
MDC 2.395 1.00   P
MDPB 2.475 1.00   S
MDPB 1.595 1.00   P
MINS 2.460 1.00   S
MINS 1.580 1.00   P
MMS 1.255 1.00   P
MQ1P 1.000 1.00   P
MRD 1.495 1.00   P
#  2012 11  3  9 44 38.96  37.6575 -119.1595   15.110  0.60 0.00 0.00 0.00          2
MCB 2.985 1.00   P
MCY 4.220 1.00   S
MDC 1.480 1.00   P
MDPB 3.420 1.00   S
MDPB 1.000 1.00   P
MDY 4.765 1.00   S
MDY 1.925 1.00   P
MEM 2.540 1.00   P
MINS 3.585 1.00   S
MINS 1.025 1.00   P
MLI 4.525 1.00   S
MLI 1.945 1.00   P
MMLB 4.740 1.00   S
MMS 1.840 1.00   P
MQ1P 1.400 1.00   P
MRD 1.260 1.00   P
OMMB 3.705 1.00   S
OMMB 1.505 1.00   P
#  2012 12 28  2 32  2.06  37.6332 -119.0253    4.470  0.18 0.00 0.00 0.00          3
MCY 1.055 1.00   P
MDC 1.875 1.00   P
MDY 1.360 1.00   P
MINS 2.340 1.00   S
MINS 1.220 1.00   P
MLI 1.160 1.00   P
MMS 1.215 1.00   P
MQ1P 1.000 1.00   P
MRD 1.335 1.00   P
OMMB 1.740 1.00   S
#  2012 10 29 21 14 49.94  37.6335 -119.0548   22.030  0.63 0.00 0.00 0.00          4
MCM 1.795 1.00   P
MDC 1.315 1.00   P
MDPB 3.755 1.00   S
MDPB 1.015 1.00   P
MGPB 1.675 1.00   P
MINS 3.880 1.00   S
MINS 1.060 1.00   P
MLC 1.475 1.00   P
MMP 1.135 1.00   P
MQ1P 1.155 1.00   P
MRD 1.095 1.00   P
OMMB 3.720 1.00   S
OMMB 1.000 1.00   P
#  2013  1 24  6 23 55.34  37.6047 -119.0973    9.860  1.35 0.00 0.00 0.00          5
MCB 3.145 1.00   P
MCM 3.120 1.00   P
MCV 3.660 1.00   P
MCY 1.520 1.00   P
MDC 1.980 1.00   P
MDPB 2.440 1.00   S
MDPB 1.000 1.00   P
MDR 3.940 1.00   P
MDY 1.925 1.00   P
MEM 2.700 1.00   P
MGPB 2.980 1.00   P
MINS 3.025 1.00   S
MINS 1.305 1.00   P
MLC 2.620 1.00   P
MLI 1.785 1.00   P
MLK 2.340 1.00   P
MMLB 2.240 1.00   P
MMS 1.540 1.00   P
MQ1P 1.385 1.00   P
MRD 1.100 1.00   P
OMMB 3.285 1.00   S
OMMB 1.525 1.00   P
#  2012 10 27 22 55 22.26  37.6302 -119.0390   20.580  0.52 0.00 0.00 0.00          6
MDC 1.360 1.00   P
MDPB 3.760 1.00   S
MDPB 1.000 1.00   P
MINS 4.025 1.00   S
MINS 1.085 1.00   P
MQ1P 1.120 1.00   P
MRD 1.040 1.00   P
OMMB 3.805 1.00   S
OMMB 1.065 1.00   P
#  2012 12 27 16 19 50.84  37.6083 -119.0702   18.140  0.73 0.00 0.00 0.00          7
MCM 2.080 1.00   P
MCV 2.500 1.00   P
MCY 1.040 1.00   P
MDC 1.420 1.00   P
MDR 2.680 1.00   P
MGPB 1.940 1.00   P
MINS 3.745 1.00   S
MINS 1.025 1.00   P
MLC 1.700 1.00   P
MMS 1.140 1.00   P
MQ1P 1.105 1.00   P
MRD 1.000 1.00   P
#  2012 12 28  7 22 19.54  37.5990 -119.0598   17.940  0.78 0.00 0.00 0.00          8
MCM 1.980 1.00   P
MCV 2.420 1.00   P
MDC 1.440 1.00   P
