MBE 36.7454 -119.2829 990
MBS1 37.7610 -118.9445 2025
MCB 37.6444 -118.8968 2391
MCD 37.5481 -118.4434 1411
MCM 37.6092 -118.8734 2219
MCS 37.6549 -118.9058 2417
MCV 37.5900 -118.8291 2542
MCY 37.6429 -119.0291 2943
MDC 37.7097 -119.0418 2493
MDH1 37.6798 -118.9088 113
MDP1 37.6325 -119.0797 2153
MDPB 37.6323 -119.0794 2360
MDR 37.6380 -118.8359 2191
MDY 37.6580 -119.0122 2789
MEM 37.6660 -118.9398 2473
MFB 37.4293 -118.4289 1348
MGPB 37.6261 -118.9029 2190
MHD 37.1171 -119.8950 147
MINS 37.6538 -119.0609 2796
MLC 37.6121 -118.9153 2471
MLH 37.6786 -118.8150 2101
MLI 37.6368 -119.0179 3075
MLK 37.6641 -118.9765 2644
MLM 37.7280 -118.9469 2501
MMI 37.4196 -119.7438 1288
MMLB 37.6591 -118.9791 2656
MMP 37.6097 -119.0287 2818
MMS 37.6304 -119.0317 3324
MMT 37.3760 -119.1796 2714
MMX1 37.6171 -118.9598 2305
MPR 37.8043 -120.0141 1386
MQ1P 37.6128 -119.0213 2740
MRC 37.6737 -118.5071 2023
MRD 37.5978 -119.0587 2657
MTU 37.3529 -118.5633 1792
MYL 37.3835 -120.4205 57
OMMB 37.6131 -119.0005 2768
MLAC 37.6302 -118.8361 2162
