#  2008  6 17 13 27 50.42  60.5500 -152.8520    0.190  0.40 0.00 0.00 0.00          1
RDN 1.000 1.00   P
RED 4.680 1.00   S
RED 2.420 1.00   P
RSO 1.900 1.00   P
#  2008  8  9 16 47 34.84  60.5567 -152.7008    6.270  0.10 0.00 0.00 0.00         20
RDN 1.000 1.00   P
RED 2.160 1.00   P
REF 2.780 1.00   S
REF 1.440 1.00   P
RSO 1.900 1.00   P
#  2008  9 22  6 32 57.12  60.4797 -152.9115    7.340  1.40 0.00 0.00 0.00         24
RDN 1.133 1.00   P
REF 3.253 1.00   S
REF 1.373 1.00   P
RSO 1.000 1.00   P
#  2008 10  5 21 45 13.98  60.5053 -152.8662   18.450  1.60 0.00 0.00 0.00         27
RDN 1.000 1.00   P
RED 4.120 1.00   S
RED 1.260 1.00   P
REF 4.040 1.00   S
REF 1.400 1.00   P
RSO 1.641 1.00   P
#  2008 10  5  3 45 35.74  60.5090 -152.9217    8.960  0.70 0.00 0.00 0.00         28
RDN 1.000 1.00   P
RED 1.200 1.00   P
REF 3.520 1.00   S
REF 1.360 1.00   P
#  2008 10  9 15 25 55.20  60.5318 -152.7753    4.020 -0.20 0.00 0.00 0.00         29
DFR 1.580 1.00   P
RDN 1.000 1.00   P
RED 2.260 1.00   P
REF 2.660 1.00   S
REF 1.540 1.00   P
RSO 1.760 1.00   P
#  2008 10 14  3 41 34.42  60.4918 -152.7668    1.450 -0.30 0.00 0.00 0.00         31
RDN 1.099 1.00   P
RED 1.619 1.00   P
REF 1.779 1.00   S
REF 1.119 1.00   P
RSO 1.000 1.00   P
#  2008 10  2 23 41 42.32  60.4897 -152.7703    0.250  0.60 0.00 0.00 0.00         33
DFR 2.940 1.00   P
NCT 3.000 1.00   P
RDN 1.000 1.00   P
RED 2.120 1.00   P
REF 2.300 1.00   S
REF 1.520 1.00   P
RSO 1.441 1.00   P
#  2008 10  2 17 30 48.22  60.5022 -152.7353    2.610  0.30 0.00 0.00 0.00         35
RDN 1.000 1.00   P
RED 1.720 1.00   P
REF 1.740 1.00   S
REF 1.080 1.00   P
RSO 1.401 1.00   P
#  2008 10 24  7 46 31.42  60.4987 -152.8200    2.200 -0.10 0.00 0.00 0.00         52
RDN 1.000 1.00   P
RED 1.520 1.00   P
REF 2.400 1.00   S
REF 1.200 1.00   P
RSO 1.460 1.00   P
#  2008 10 28  9 29 18.22  60.5115 -152.9680    3.920  0.60 0.00 0.00 0.00         53
DFR 2.720 1.00   P
NCT 1.000 1.00   P
RDN 2.040 1.00   P
RED 4.400 1.00   S
RED 2.280 1.00   P
REF 4.640 1.00   S
REF 2.500 1.00   P
RSO 2.240 1.00   P
#  2008 10 30 17 25 36.12  60.4955 -152.8038    0.880  0.20 0.00 0.00 0.00         54
RDN 1.100 1.00   P
REF 2.340 1.00   S
REF 1.100 1.00   P
RSO 1.000 1.00   P
#  2008 10 21  6 17 24.54  60.4902 -152.7682    1.020 -0.10 0.00 0.00 0.00         55
RDN 1.120 1.00   P
RED 1.780 1.00   P
REF 1.840 1.00   S
REF 1.200 1.00   P
RSO 1.000 1.00   P
#  2008 10 21 16 44  8.52  60.5255 -152.7272    4.440 -0.00 0.00 0.00 0.00         56
RDN 1.000 1.00   P
RED 2.300 1.00   P
REF 2.380 1.00   S
REF 1.320 1.00   P
RSO 1.760 1.00   P
#  2008 10 29  1 24 38.54  60.5388 -152.6253    3.490  0.60 0.00 0.00 0.00         58
RDN 1.060 1.00   P
RED 2.560 1.00   P
REF 2.440 1.00   S
REF 1.000 1.00   P
RSO 1.900 1.00   P
#  2008 10 22  7 10 45.28  60.4950 -152.7717    0.840  0.20 0.00 0.00 0.00         59
RDN 1.000 1.00   P
RED 1.880 1.00   P
REF 1.960 1.00   S
REF 1.340 1.00   P
RSO 1.160 1.00   P
#  2008 10 21 15 37 12.00  60.5385 -152.7745    2.890  0.50 0.00 0.00 0.00         61
RDN 1.000 1.00   P
RED 2.820 1.00   P
REF 2.900 1.00   S
REF 1.740 1.00   P
RSO 2.000 1.00   P
#  2008 10 30  1 22 30.42  60.4968 -152.6263    4.800  0.90 0.00 0.00 0.00         62
RDN 1.320 1.00   P
REF 2.040 1.00   S
REF 1.000 1.00   P
RSO 1.460 1.00   P
#  2008 10 26  2 26 32.66  60.5017 -152.7485   -2.980 -0.40 0.00 0.00 0.00         64
RDN 1.100 1.00   P
RED 6.540 1.00   S
RED 2.740 1.00   P
REF 2.160 1.00   S
REF 1.000 1.00   P
RSO 1.001 1.00   P
#  2008 10 31 20 58 38.84  60.4907 -152.7757   -2.670  0.20 0.00 0.00 0.00         65
DFR 2.019 1.00   P
NCT 2.259 1.00   P
RDN 1.039 1.00   P
REF 1.759 1.00   S
REF 1.659 1.00   S
REF 1.099 1.00   P
RSO 1.000 1.00   P
#  2008 10 19  3 15  1.86  60.5070 -152.9965   10.970  0.60 0.00 0.00 0.00         66
NCT 1.000 1.00   P
RDN 1.900 1.00   P
RED 1.940 1.00   P
REF 4.880 1.00   S
REF 2.280 1.00   P
RSO 1.960 1.00   P
#  2008 10 26  9 24  4.62  60.5428 -152.6583    7.480 -0.00 0.00 0.00 0.00         67
DFR 1.020 1.00   P
RDN 1.000 1.00   P
RED 4.200 1.00   S
RED 2.000 1.00   P
REF 2.600 1.00   S
REF 1.780 1.00   P
RSO 1.741 1.00   P
#  2008 10 23 18 31  4.58  60.4760 -152.5953    0.770  0.60 0.00 0.00 0.00         68
RDN 1.340 1.00   P
REF 1.660 1.00   S
REF 1.000 1.00   P
RSO 1.641 1.00   P
#  2008 11  4 21 48 10.66  60.4897 -152.7752   -3.000  0.50 0.00 0.00 0.00         76
NCT 2.579 1.00   P
RDN 1.039 1.00   P
RED 3.499 1.00   S
RED 1.679 1.00   P
REF 2.419 1.00   S
REF 1.099 1.00   P
RSO 1.000 1.00   P
#  2008 11  6  4  8 48.44  60.4955 -152.7042    5.940 -0.50 0.00 0.00 0.00         77
RDN 1.180 1.00   P
RED 2.760 1.00   P
REF 1.840 1.00   S
REF 1.000 1.00   P
RSO 1.380 1.00   P
#  2008 11  7 15 37 54.36  60.4945 -152.7582    0.850  0.10 0.00 0.00 0.00         78
RDN 1.119 1.00   P
REF 1.879 1.00   S
REF 1.159 1.00   P
RSO 1.000 1.00   P
#  2008 11 11  3 30 56.48  60.4830 -152.6343    2.700  0.70 0.00 0.00 0.00         79
RDN 1.460 1.00   P
RED 2.340 1.00   P
REF 1.800 1.00   S
REF 1.000 1.00   P
RSO 1.580 1.00   P
#  2008 11  8  1 25 50.10  60.5550 -152.5972    1.940  0.50 0.00 0.00 0.00         80
RDN 1.040 1.00   P
RED 2.700 1.00   P
REF 2.580 1.00   S
REF 2.300 1.00   S
REF 1.000 1.00   P
RSO 1.581 1.00   P
#  2008 11  6  5 55 57.36  60.4943 -152.7377    3.330 -0.10 0.00 0.00 0.00         81
RDN 1.000 1.00   P
RED 2.780 1.00   S
REF 1.720 1.00   S
REF 1.080 1.00   P
RSO 1.260 1.00   P
#  2008 11  4  3 42 34.58  60.4893 -152.7712   -0.250  0.10 0.00 0.00 0.00         86
RDN 1.039 1.00   P
RED 2.919 1.00   S
RED 1.719 1.00   P
REF 1.719 1.00   S
REF 1.119 1.00   P
RSO 1.000 1.00   P
#  2008 11  2 14 49  8.90  60.3505 -152.6905   14.610  0.10 0.00 0.00 0.00         89
RDN 2.120 1.00   P
RED 1.000 1.00   P
REF 4.680 1.00   S
RSO 1.540 1.00   P
#  2008 11 17 12 53 54.14  60.5060 -152.7528    1.330 -0.20 0.00 0.00 0.00         94
RDN 1.000 1.00   P
RED 3.620 1.00   S
RED 2.140 1.00   P
REF 2.100 1.00   S
REF 1.320 1.00   P
RSO 1.580 1.00   P
