#  2008  8  9 16 47 34.84  60.5567 -152.7008    9.270  0.10 0.00 0.00 0.00         20
RDN 1.000 1.00   P
REF 2.780 1.00   S
REF 1.440 1.00   P
RSO 1.900 1.00   P
#  2008  9 22  6 32 57.12  60.4797 -152.9115   10.340  1.40 0.00 0.00 0.00         67
RDN 1.133 1.00   P
REF 1.373 1.00   P
RSO 1.000 1.00   P
#  2008 10 22  7 10 45.28  60.4950 -152.7717    3.840  0.20 0.00 0.00 0.00         68
RDN 1.000 1.00   P
REF 1.960 1.00   S
REF 1.340 1.00   P
RSO 1.160 1.00   P
#  2008 10  2 23 41 42.32  60.4897 -152.7703    3.250  0.60 0.00 0.00 0.00         75
NCT 3.000 1.00   P
RDN 1.000 1.00   P
REF 2.300 1.00   S
REF 1.520 1.00   P
RSO 1.441 1.00   P
#  2008 10 17 21 39  2.46  60.4907 -152.7692    3.170 -0.10 0.00 0.00 0.00         78
RDN 1.060 1.00   P
REF 1.760 1.00   S
REF 1.100 1.00   P
RSO 1.000 1.00   P
#  2008 10  3 20 27 28.88  60.4937 -152.7395    5.580  0.50 0.00 0.00 0.00         90
RDN 1.300 1.00   P
REF 1.980 1.00   S
REF 1.000 1.00   P
RSO 1.300 1.00   P
#  2008 10 15 16  8 17.24  60.4932 -152.7282    7.400  0.20 0.00 0.00 0.00        115
RDN 1.019 1.00   P
REF 1.759 1.00   S
REF 1.099 1.00   P
RSO 1.000 1.00   P
#  2008 10  2 17 30 48.22  60.5022 -152.7353    5.610  0.30 0.00 0.00 0.00        120
RDN 1.000 1.00   P
REF 1.740 1.00   S
REF 1.080 1.00   P
RSO 1.401 1.00   P
#  2008 10 21  6 17 24.54  60.4902 -152.7682    4.020 -0.10 0.00 0.00 0.00        127
RDN 1.120 1.00   P
REF 1.840 1.00   S
REF 1.200 1.00   P
RSO 1.000 1.00   P
#  2008 10  1 20 39 46.08  60.4932 -152.7345    6.190  0.60 0.00 0.00 0.00        128
RDN 1.000 1.00   P
RED 1.700 1.00   P
REF 1.080 1.00   P
RSO 1.420 1.00   P
#  2008 10 14  3 41 34.42  60.4918 -152.7668    4.450 -0.30 0.00 0.00 0.00        129
RDN 1.099 1.00   P
REF 1.779 1.00   S
REF 1.119 1.00   P
RSO 1.000 1.00   P
#  2008 10 31 20 58 38.84  60.4907 -152.7757    0.330  0.20 0.00 0.00 0.00        133
NCT 2.259 1.00   P
RDN 1.039 1.00   P
REF 1.759 1.00   S
REF 1.099 1.00   P
RSO 1.000 1.00   P
#  2008 10 22  7 11  2.28  60.4905 -152.7732    3.210 -0.00 0.00 0.00 0.00        134
RDN 1.000 1.00   P
REF 1.740 1.00   S
REF 1.060 1.00   P
RSO 1.120 1.00   P
