#  2012 10  1  0 29 59.50  37.6540 -119.0197    0.140  1.34 0.00 0.00 0.00          1
MLAC 3.480 1.00   P
MCB 2.500 1.00   P
MCM 2.800 1.00   P
MCS 2.330 1.00   P
MCV 3.520 1.00   P
MCY 1.310 1.00   S
MCY 0.810 1.00   P
MDC 1.460 1.00   P
MDH1 3.150 1.00   S
MDR 3.520 1.00   P
MDY 0.780 1.00   P
MEM 1.780 1.00   P
MGPB 2.490 0.50   P
MINS 1.020 1.00   P
MLC 2.190 1.00   P
MLH 3.890 0.50   P
MLI 1.650 0.50   S
MLI 0.990 1.00   P
MLK 1.280 0.50   P
MMLB 1.180 1.00   P
MMP 1.260 1.00   P
MMS 1.090 1.00   P
MQ1P 1.220 0.50   P
MRD 1.650 1.00   P
#  2012 10  1  0 49 16.25  37.6543 -119.0203    0.580  0.49 0.00 0.00 0.00          2
MCM 2.820 0.20   P
MCY 1.330 0.50   S
MCY 0.860 1.00   P
MDC 1.560 0.20   P
MDY 1.580 -1.00   S
MDY 0.830 1.00   P
MGPB 2.540 0.20   P
MINS 1.070 1.00   P
MLI 1.150 0.20   P
MLK 1.330 -1.00   P
MMLB 1.190 0.50   P
MMP 1.170 0.20   P
MMS 1.130 1.00   P
MRD 1.700 1.00   P
#  2012 10  1  0 50 43.41  37.6538 -119.0217    0.350  0.68 0.00 0.00 0.00          3
MCB 2.510 0.20   P
MCM 2.820 1.00   P
MCS 2.350 0.50   P
MCV 3.530 0.20   P
MCY 1.340 0.50   S
MCY 0.830 1.00   P
MDC 1.480 0.50   P
MDH1 3.160 1.00   S
MDR 3.550 1.00   P
MDY 1.550 -1.00   S
MDY 0.810 1.00   P
MEM 1.800 1.00   P
MGPB 2.540 0.50   P
MINS 1.050 1.00   P
MLI 1.020 0.50   P
MLK 1.310 1.00   P
MMLB 1.200 1.00   P
MMP 1.280 0.50   P
MMS 1.120 0.50   P
MQ1P 1.190 0.20   P
MRD 1.680 1.00   P
#  2012 10  1  3 19 56.28  37.6542 -119.0232    0.370  0.27 0.00 0.00 0.00          4
MCY 1.360 0.50   S
MCY 0.850 0.50   P
MDC 1.500 0.50   P
MDP1 2.290 -1.00   S
MDY 1.610 0.50   S
MDY 0.830 1.00   P
MEM 1.810 0.50   P
MINS 1.070 1.00   P
MLI 1.070 0.20   P
MLK 1.330 -1.00   P
MMLB 1.220 0.20   P
MMP 1.360 0.20   P
MMS 1.150 0.50   P
MRD 1.700 0.50   P
#  2012 10  1  3 20  3.92  37.6530 -119.0210    0.410  1.48 0.00 0.00 0.00          5
MLAC 3.500 0.20   P
MCB 2.530 1.00   P
MCM 2.820 1.00   P
MCS 2.360 1.00   P
MCV 3.540 1.00   P
MCY 1.340 0.50   S
MCY 0.830 1.00   P
MDC 1.470 0.50   P
MDH1 3.160 1.00   S
MDP1 2.260 1.00   S
MDR 3.550 1.00   P
MDY 1.550 0.20   S
MDY 0.810 1.00   P
MEM 1.800 1.00   P
MGPB 2.500 1.00   P
MINS 1.040 0.50   P
MLC 2.210 1.00   P
MLH 3.920 0.50   P
MLI 1.690 0.50   S
MLI 1.030 0.50   P
MLK 1.300 1.00   P
MMLB 1.200 1.00   P
MMP 1.290 0.50   P
MMS 1.110 1.00   P
MQ1P 1.230 0.20   P
MRD 1.670 1.00   P
#  2012 10  1  3 46 39.28  37.6537 -119.0232   -0.120  0.54 0.00 0.00 0.00          6
MCM 2.790 0.50   P
MCY 1.270 0.50   S
MCY 0.800 1.00   P
MDC 1.600 0.50   P
MDH1 3.140 1.00   S
MDY 1.510 0.20   S
MDY 0.780 1.00   P
MGPB 2.510 0.20   P
MINS 1.000 1.00   P
MLI 1.640 0.20   S
MLI 1.000 0.20   P
MLK 1.280 1.00   P
MMLB 1.170 0.50   P
MMP 1.290 1.00   P
MMS 1.110 0.20   P
MQ1P 1.210 0.20   P
MRD 1.630 1.00   P
#  2012 10  1  4 13 14.11  37.5893 -119.0062    1.810  0.70 0.00 0.00 0.00          7
MLAC 3.400 0.20   P
MCB 2.660 1.00   P
MCM 2.460 1.00   P
MCV 3.010 1.00   P
MCY 2.800 0.50   S
MCY 1.700 0.50   P
MDC 2.800 1.00   P
MDR 3.450 0.20   P
MDY 2.020 0.20   P
MGPB 2.310 0.20   P
MINS 3.250 0.50   S
MINS 1.960 1.00   P
MLC 1.870 0.50   P
MLI 1.670 0.20   P
MLK 2.230 1.00   P
MMLB 2.130 0.20   P
MMP 1.070 1.00   P
MMS 1.540 1.00   P
MQ1P 1.060 0.50   P
MRD 1.370 1.00   P
#  2012 10  1  4 17 36.94  37.5978 -119.0055    1.400  0.36 0.00 0.00 0.00          8
MDC 2.730 0.20   P
MINS 1.870 -0.50   P
MMP 0.930 -1.00   P
MMS 1.380 0.20   P
MQ1P 0.910 0.50   P
MRD 1.230 -1.00   P
#  2012 10  1  4 23 12.18  37.6522 -119.0237   -0.430  0.24 0.00 0.00 0.00          9
MCY 1.260 0.50   S
MCY 0.750 0.50   P
MDC 1.540 0.50   P
MDH1 3.160 1.00   S
MDPB 2.210 1.00   S
MDPB 1.310 1.00   P
MDY 1.450 0.20   S
MDY 0.720 -1.00   P
MGPB 2.480 0.50   P
MINS 0.950 1.00   P
MLI 0.990 0.20   P
MLK 1.250 0.50   P
MMLB 1.140 0.20   P
MMP 1.290 0.20   P
MMS 1.040 0.20   P
MQ1P 1.220 0.20   P
MRD 1.590 1.00   P
#  2012 10  1  6 12 34.97  37.6335 -119.0373    0.300  1.67 0.00 0.00 0.00         10
MCY 0.870 -1.00   P
MDC 1.760 -1.00   P
MINS 1.730 0.50   S
MINS 1.020 1.00   P
MMP 0.880 0.50   P
MMS 1.020 0.50   P
MQ1P 0.870 0.50   P
MRD 1.160 0.50   P
#  2012 10  1  6 13 39.12  37.6355 -119.0405    0.560  1.00 0.00 0.00 0.00         11
MCY 0.870 -1.00   P
MDC 1.760 -1.00   P
MDPB 1.080 0.50   P
MDY 1.170 0.20   P
MINS 1.730 0.50   S
MINS 1.020 1.00   P
MLI 1.000 0.20   P
MLK 1.650 0.20   P
MMP 0.890 1.00   P
MMS 1.030 0.50   P
MQ1P 0.870 1.00   P
MRD 1.160 -1.00   P
#  2012 10  1  6 14 10.00  37.6322 -119.0352    1.420  0.36 0.00 0.00 0.00         12
MCY 1.980 0.20   S
MCY 0.940 0.50   P
MDC 1.830 1.00   P
MDPB 2.010 0.50   S
MDPB 1.130 1.00   P
MDY 1.270 1.00   P
MINS 2.020 0.20   S
MINS 1.100 1.00   P
MLK 1.700 0.50   P
MMP 0.940 1.00   P
MMS 1.080 1.00   P
MQ1P 0.930 1.00   P
MRD 1.230 -1.00   P
#  2012 10  1  6 15 24.09  37.6348 -119.0358    0.530  0.65 0.00 0.00 0.00         13
MCM 2.830 0.20   P
MCY 0.850 0.50   P
MDC 1.780 -1.00   P
MDPB 1.090 0.50   P
MDY 1.160 0.20   P
MINS 1.030 -1.00   P
MMP 0.880 1.00   P
MMS 1.020 0.50   P
MQ1P 0.870 0.50   P
MRD 1.180 0.50   P
#  2012 10  1  6 15 50.00  37.6343 -119.0358    0.890  0.17 0.00 0.00 0.00         14
MCY 0.880 1.00   P
MDC 1.780 0.50   P
MDPB 1.950 0.20   S
MDPB 1.080 -1.00   P
MDY 1.200 0.20   P
MINS 1.030 1.00   P
MMP 0.900 1.00   P
MMS 1.020 1.00   P
MQ1P 0.890 0.50   P
MRD 1.180 -1.00   P
#  2012 10  1  7 26 13.94  37.6537 -119.0203    0.190  1.07 0.00 0.00 0.00         15
MLAC 3.480 1.00   P
MCB 2.500 1.00   P
MCM 2.790 1.00   P
MCS 2.330 1.00   P
MCV 3.500 0.50   P
MCY 0.820 1.00   P
MDC 1.460 1.00   P
MDH1 3.130 1.00   S
MDR 3.500 1.00   P
MDY 1.540 0.50   S
MDY 0.800 1.00   P
MEM 1.770 1.00   P
MGPB 2.470 1.00   P
MINS 1.030 1.00   P
MLC 2.180 1.00   P
MLI 1.040 0.20   P
MLK 1.280 1.00   P
MMLB 1.170 1.00   P
MMP 1.250 1.00   P
MMS 1.090 1.00   P
MQ1P 1.200 0.50   P
MRD 1.650 1.00   P
#  2012 10  1  7 41 29.76  37.6325 -119.0428    0.480 -0.35 0.00 0.00 0.00         16
MCY 0.870 0.20   P
MDC 1.810 -1.00   P
MDY 1.180 0.20   P
MINS 1.000 -1.00   P
MMP 0.840 1.00   P
MMS 1.030 0.50   P
MQ1P 0.830 0.50   P
MRD 1.120 -1.00   P
#  2012 10  1  9 30  6.41  37.5890 -119.0063    2.260  0.83 0.00 0.00 0.00         17
MLAC 3.430 0.20   P
MCB 2.680 0.50   P
MCM 2.500 1.00   P
MCV 3.060 1.00   P
MCY 2.840 0.50   S
MCY 1.730 0.50   P
MDC 2.840 1.00   P
MDR 3.480 0.20   P
MDY 3.510 0.20   S
MDY 2.110 0.20   P
MGPB 2.330 0.50   P
MINS 3.290 0.50   S
MINS 2.000 1.00   P
MLC 1.920 1.00   P
MLI 1.730 0.20   P
MLK 2.260 1.00   P
MMLB 2.100 0.50   P
MMP 1.110 1.00   P
MMS 1.590 0.50   P
MQ1P 1.090 1.00   P
MRD 1.420 1.00   P
#  2012 10  1  9 31 42.28  37.6043 -119.0095    1.860  0.26 0.00 0.00 0.00         18
MCV 2.890 0.20   P
MCY 2.640 0.50   S
MCY 1.570 0.20   P
MDC 2.730 0.20   P
MINS 3.080 -1.00   S
MINS 1.820 0.50   P
MMP 0.880 1.00   P
MQ1P 0.880 0.50   P
MRD 1.190 -1.00   P
#  2012 10  1 12 27 31.98  37.5970 -119.0012    1.540  0.23 0.00 0.00 0.00         19
MCV 2.930 0.20   P
MCY 2.720 0.50   S
MDPB 3.000 0.50   S
MDPB 1.770 1.00   P
MINS 1.930 0.50   P
MLC 1.780 -1.00   P
MMP 1.010 1.00   P
MMS 1.410 0.20   P
MQ1P 0.970 0.50   P
MRD 1.280 1.00   P
#  2012 10  1 14 21  1.74  37.6528 -119.0295   -0.730 -0.11 0.00 0.00 0.00         20
MCY 1.110 0.20   S
MCY 0.690 0.20   P
MDC 1.380 0.20   P
MDY 0.650 -1.00   P
MINS 0.920 0.20   P
MMP 1.410 1.00   P
MMS 0.940 0.50   P
MRD 1.480 -1.00   P
#  2012 10  1 15  1 17.72  37.6548 -119.0220    0.080  0.60 0.00 0.00 0.00         21
MCB 2.530 0.50   P
MCM 2.820 0.20   P
MCS 2.330 0.20   P
MCV 3.550 0.50   P
MCY 1.380 -1.00   S
MCY 0.830 1.00   P
MDC 1.430 -1.00   P
MDH1 3.150 1.00   S
MDY 1.560 0.50   S
MDY 0.790 1.00   P
MEM 1.780 0.50   P
MGPB 2.510 0.20   P
MINS 1.030 1.00   P
MLC 2.210 0.20   P
MLI 1.070 0.20   P
MLK 1.280 0.50   P
MMLB 1.170 0.50   P
MMP 1.360 0.20   P
MMS 1.130 0.50   P
MRD 1.680 -1.00   P
#  2012 10  1 15 46 59.12  37.5918 -119.1603    3.960  0.69 0.00 0.00 0.00         22
MDC 3.230 -1.00   P
MINS 4.140 0.20   S
MINS 2.430 1.00   P
MMP 2.590 1.00   P
MQ1P 2.700 0.20   P
MRD 2.210 1.00   P
#  2012 10  1 18 58 45.90  37.6057 -119.0052    1.800  0.59 0.00 0.00 0.00         23
MCM 2.340 0.20   P
MDC 2.690 0.20   P
MINS 3.140 0.50   S
MINS 1.840 0.50   P
MLC 1.750 0.20   P
MMP 0.950 1.00   P
MMS 1.180 0.20   P
