OMMB   37.6131 -119.0005
MEM   37.6660 -118.9398
MCV   37.5900 -118.8291
MQ1P   37.6128 -119.0213
MB11   37.6114 -119.0210
MCY   37.6429 -119.0291
MLC   37.6121 -118.9153
MRD   37.5978 -119.0587
MB02   37.6292 -119.0377
MLK   37.6641 -118.9765
MB03   37.6389 -119.0339
MB01   37.6280 -119.0304
MDPB   37.6323 -119.0794
MDY   37.6580 -119.0122
MDC   37.7097 -119.0418
MCM   37.6092 -118.8734
MINS   37.6538 -119.0609
MB05   37.6184 -119.0273
MLI   37.6368 -119.0179
MCB   37.6444 -118.8968
MB10   37.6433 -119.0582
MB09   37.6328 -119.0045
MGPB   37.6261 -118.9029
MB08   37.6457 -119.0286
MMS   37.6304 -119.0317
MMP   37.6097 -119.0287
MMLB   37.6591 -118.9791
MDR   37.6380 -118.8359
MB07   37.6339 -119.0468
MB06   37.6165 -119.0477
