2012-09-15 07:46:48.130000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 07:47:15.250000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 07:50:36.990000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 07:52:28.200000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 07:54:13.940000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 07:55:41.660000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 07:56:09.750000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 08:01:54.780000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 08:11:20.960000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 08:31:09.450000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 09:06:53.940000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 09:10:51.780000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 09:14:55.880000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 10:29:51.350000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 10:42:23.550000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 10:54:36.970000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 11:23:35.590000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 13:36:08.260000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 13:41:05.300000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 14:26:10.230000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 15:16:15.260000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 16:53:28.140000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 16:59:46.110000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 18:22:17.820000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 18:45:25.120000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 18:48:57.750000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 18:52:49.860000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 18:54:43.040000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 19:03:11.600000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 19:17:12.540000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 19:46:34.360000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 20:15:05.650000, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 22:53:28, ST02 HHZ JP , OklahomaSwarm0
2012-09-15 22:59:23.490000, ST02 HHZ JP , OklahomaSwarm0
2012-09-16 00:17:31.460000, ST02 HHZ JP , OklahomaSwarm0
2012-09-16 00:57:22.880000, ST02 HHZ JP , OklahomaSwarm0
2012-09-16 06:06:36.150000, ST02 HHZ JP , OklahomaSwarm0
2012-09-17 04:17:04.080000, ST02 HHZ JP , OklahomaSwarm0
2012-09-17 04:26:32.780000, ST02 HHZ JP , OklahomaSwarm0
2012-09-17 07:53:20.850000, ST02 HHZ JP , OklahomaSwarm0
2012-09-17 08:06:15.460000, ST02 HHZ JP , OklahomaSwarm0
2012-09-17 14:00:12.950000, ST02 HHZ JP , OklahomaSwarm0
2012-09-17 21:47:39.980000, ST02 HHZ JP , OklahomaSwarm0
2012-09-18 20:41:12.070000, ST02 HHZ JP , OklahomaSwarm0
2012-09-20 15:25:49.890000, ST02 HHZ JP , OklahomaSwarm0
2012-09-20 19:42:26.880000, ST02 HHZ JP , OklahomaSwarm0
2012-09-20 23:35:46.930000, ST02 HHZ JP , OklahomaSwarm0
