2012-09-14 00:00:00.010000, ST02 HHZ JP , trigger
2012-09-14 00:15:05.690000, ST02 HHZ JP , trigger
2012-09-14 00:25:13.030000, ST02 HHZ JP , trigger
2012-09-14 00:28:06.930000, ST02 HHZ JP , trigger
2012-09-14 00:37:25.780000, ST02 HHZ JP , trigger
2012-09-14 00:41:03.390000, ST02 HHZ JP , trigger
2012-09-14 01:03:03.240000, ST02 HHZ JP , trigger
2012-09-14 02:02:36.900000, ST02 HHZ JP , trigger
2012-09-14 02:52:28.010000, ST02 HHZ JP , trigger
2012-09-14 03:25:12.380000, ST02 HHZ JP , trigger
2012-09-14 03:49:59.830000, ST02 HHZ JP , trigger
2012-09-14 03:54:53.700000, ST02 HHZ JP , trigger
2012-09-14 04:05:52.720000, ST02 HHZ JP , trigger
2012-09-14 04:50:45.360000, ST02 HHZ JP , trigger
2012-09-14 04:56:30.950000, ST02 HHZ JP , trigger
2012-09-14 05:08:28.040000, ST02 HHZ JP , trigger
2012-09-14 05:11:42.230000, ST02 HHZ JP , trigger
2012-09-14 09:19:26.660000, ST02 HHZ JP , trigger
2012-09-14 09:55:42.460000, ST02 HHZ JP , trigger
2012-09-14 10:08:41.940000, ST02 HHZ JP , trigger
2012-09-14 10:10:07.880000, ST02 HHZ JP , trigger
2012-09-14 10:32:55.010000, ST02 HHZ JP , trigger
2012-09-14 11:51:32.030000, ST02 HHZ JP , trigger
2012-09-14 12:02:59.650000, ST02 HHZ JP , trigger
2012-09-14 12:03:18.600000, ST02 HHZ JP , trigger
2012-09-14 12:05:23.930000, ST02 HHZ JP , trigger
2012-09-14 12:22:02.710000, ST02 HHZ JP , trigger
2012-09-14 12:24:02.950000, ST02 HHZ JP , trigger
2012-09-14 12:31:13.520000, ST02 HHZ JP , trigger
2012-09-14 12:39:04.450000, ST02 HHZ JP , trigger
2012-09-14 13:13:08.280000, ST02 HHZ JP , trigger
2012-09-14 13:17:16.480000, ST02 HHZ JP , trigger
2012-09-14 13:17:40.160000, ST02 HHZ JP , trigger
2012-09-14 13:45:08.020000, ST02 HHZ JP , trigger
2012-09-14 14:28:00.430000, ST02 HHZ JP , trigger
2012-09-14 14:34:40.150000, ST02 HHZ JP , trigger
2012-09-14 14:38:57.410000, ST02 HHZ JP , trigger
2012-09-14 14:54:37.030000, ST02 HHZ JP , trigger
2012-09-14 15:02:25.050000, ST02 HHZ JP , trigger
2012-09-14 15:06:55.190000, ST02 HHZ JP , trigger
2012-09-14 15:24:32, ST02 HHZ JP , trigger
2012-09-14 15:26:06.330000, ST02 HHZ JP , trigger
2012-09-14 15:28:11.330000, ST02 HHZ JP , trigger
2012-09-14 15:31:07.640000, ST02 HHZ JP , trigger
2012-09-14 15:36:49.330000, ST02 HHZ JP , trigger
2012-09-14 15:53:39.240000, ST02 HHZ JP , trigger
2012-09-14 16:08:24.440000, ST02 HHZ JP , trigger
2012-09-14 16:10:37.100000, ST02 HHZ JP , trigger
2012-09-14 16:13:48.440000, ST02 HHZ JP , trigger
2012-09-14 16:14:38.340000, ST02 HHZ JP , trigger
2012-09-14 16:28:40.030000, ST02 HHZ JP , trigger
2012-09-14 16:30:58.170000, ST02 HHZ JP , trigger
2012-09-14 16:43:44.080000, ST02 HHZ JP , trigger
2012-09-14 17:21:08.460000, ST02 HHZ JP , trigger
2012-09-14 17:26:58.820000, ST02 HHZ JP , trigger
2012-09-14 17:37:08.050000, ST02 HHZ JP , trigger
2012-09-14 17:53:25.710000, ST02 HHZ JP , trigger
2012-09-14 18:13:33.220000, ST02 HHZ JP , trigger
2012-09-14 18:35:02.310000, ST02 HHZ JP , trigger
2012-09-14 18:45:32, ST02 HHZ JP , trigger
2012-09-14 19:07:44.420000, ST02 HHZ JP , trigger
2012-09-14 19:12:07.580000, ST02 HHZ JP , trigger
2012-09-14 19:14:32.470000, ST02 HHZ JP , trigger
2012-09-14 19:47:46.580000, ST02 HHZ JP , trigger
2012-09-14 19:49:23.780000, ST02 HHZ JP , trigger
2012-09-14 20:03:23.480000, ST02 HHZ JP , trigger
2012-09-14 20:09:55.860000, ST02 HHZ JP , trigger
2012-09-14 20:10:04.310000, ST02 HHZ JP , trigger
2012-09-14 20:16:11.140000, ST02 HHZ JP , trigger
2012-09-14 20:18:40.530000, ST02 HHZ JP , trigger
2012-09-14 20:41:00.970000, ST02 HHZ JP , trigger
2012-09-14 20:49:47.460000, ST02 HHZ JP , trigger
2012-09-14 21:58:19.540000, ST02 HHZ JP , trigger
2012-09-14 21:58:28.170000, ST02 HHZ JP , trigger
2012-09-14 22:23:42.940000, ST02 HHZ JP , trigger
2012-09-14 23:01:10.150000, ST02 HHZ JP , trigger
2012-09-14 23:48:46.100000, ST02 HHZ JP , trigger
2012-09-15 00:04:19.020000, ST02 HHZ JP , trigger
2012-09-15 00:54:26.580000, ST02 HHZ JP , trigger
2012-09-15 00:57:43.940000, ST02 HHZ JP , trigger
2012-09-15 01:07:13.530000, ST02 HHZ JP , trigger
2012-09-15 06:04:27.640000, ST02 HHZ JP , trigger
2012-09-15 07:43:40.410000, ST02 HHZ JP , trigger
2012-09-15 07:46:48.130000, ST02 HHZ JP , trigger
2012-09-15 07:47:15.070000, ST02 HHZ JP , trigger
2012-09-15 07:50:36.830000, ST02 HHZ JP , trigger
2012-09-15 07:51:32.250000, ST02 HHZ JP , trigger
2012-09-15 07:52:28.190000, ST02 HHZ JP , trigger
2012-09-15 07:54:13.950000, ST02 HHZ JP , trigger
2012-09-15 07:55:41.660000, ST02 HHZ JP , trigger
2012-09-15 07:56:09.640000, ST02 HHZ JP , trigger
2012-09-15 08:01:54.780000, ST02 HHZ JP , trigger
2012-09-15 08:11:20.760000, ST02 HHZ JP , trigger
2012-09-15 08:15:17.480000, ST02 HHZ JP , trigger
2012-09-15 08:20:34.310000, ST02 HHZ JP , trigger
2012-09-15 08:31:09.220000, ST02 HHZ JP , trigger
2012-09-15 09:06:53.930000, ST02 HHZ JP , trigger
2012-09-15 09:10:51.710000, ST02 HHZ JP , trigger
2012-09-15 09:14:55.890000, ST02 HHZ JP , trigger
2012-09-15 10:06:10.170000, ST02 HHZ JP , trigger
2012-09-15 10:06:18.150000, ST02 HHZ JP , trigger
2012-09-15 10:29:51.360000, ST02 HHZ JP , trigger
2012-09-15 10:42:23.340000, ST02 HHZ JP , trigger
2012-09-15 10:46:07.480000, ST02 HHZ JP , trigger
2012-09-15 10:54:36.750000, ST02 HHZ JP , trigger
2012-09-15 11:23:35.610000, ST02 HHZ JP , trigger
2012-09-15 11:37:03.800000, ST02 HHZ JP , trigger
2012-09-15 11:47:55.010000, ST02 HHZ JP , trigger
2012-09-15 12:28:50.060000, ST02 HHZ JP , trigger
2012-09-15 13:20:41.630000, ST02 HHZ JP , trigger
2012-09-15 13:32:04.090000, ST02 HHZ JP , trigger
2012-09-15 13:34:15.350000, ST02 HHZ JP , trigger
2012-09-15 13:36:08.320000, ST02 HHZ JP , trigger
2012-09-15 13:36:46.280000, ST02 HHZ JP , trigger
2012-09-15 13:38:46.140000, ST02 HHZ JP , trigger
2012-09-15 13:41:04.270000, ST02 HHZ JP , trigger
2012-09-15 13:46:41.930000, ST02 HHZ JP , trigger
2012-09-15 13:58:23.790000, ST02 HHZ JP , trigger
2012-09-15 14:04:46.240000, ST02 HHZ JP , trigger
2012-09-15 14:10:33.970000, ST02 HHZ JP , trigger
2012-09-15 14:22:50.690000, ST02 HHZ JP , trigger
2012-09-15 14:26:10.040000, ST02 HHZ JP , trigger
2012-09-15 14:28:39.750000, ST02 HHZ JP , trigger
2012-09-15 14:32:51.100000, ST02 HHZ JP , trigger
2012-09-15 14:35:42.220000, ST02 HHZ JP , trigger
2012-09-15 14:44:07.570000, ST02 HHZ JP , trigger
2012-09-15 14:45:13.070000, ST02 HHZ JP , trigger
2012-09-15 15:01:04.250000, ST02 HHZ JP , trigger
2012-09-15 15:09:01.330000, ST02 HHZ JP , trigger
2012-09-15 15:12:47.680000, ST02 HHZ JP , trigger
2012-09-15 15:12:55.480000, ST02 HHZ JP , trigger
2012-09-15 15:16:15.050000, ST02 HHZ JP , trigger
2012-09-15 15:41:56.870000, ST02 HHZ JP , trigger
2012-09-15 15:45:35.050000, ST02 HHZ JP , trigger
2012-09-15 15:46:05.830000, ST02 HHZ JP , trigger
2012-09-15 15:51:36.900000, ST02 HHZ JP , trigger
2012-09-15 15:52:01.430000, ST02 HHZ JP , trigger
2012-09-15 16:15:12.520000, ST02 HHZ JP , trigger
2012-09-15 16:31:34.690000, ST02 HHZ JP , trigger
2012-09-15 16:40:38.910000, ST02 HHZ JP , trigger
2012-09-15 16:48:49.580000, ST02 HHZ JP , trigger
2012-09-15 16:50:43.910000, ST02 HHZ JP , trigger
2012-09-15 16:53:27.950000, ST02 HHZ JP , trigger
2012-09-15 16:59:47.450000, ST02 HHZ JP , trigger
2012-09-15 17:10:27.820000, ST02 HHZ JP , trigger
2012-09-15 17:34:15.300000, ST02 HHZ JP , trigger
2012-09-15 18:12:19.830000, ST02 HHZ JP , trigger
2012-09-15 18:22:17.430000, ST02 HHZ JP , trigger
2012-09-15 18:30:07.900000, ST02 HHZ JP , trigger
2012-09-15 18:35:44.840000, ST02 HHZ JP , trigger
2012-09-15 18:41:36.240000, ST02 HHZ JP , trigger
2012-09-15 18:45:24.980000, ST02 HHZ JP , trigger
2012-09-15 18:48:53.680000, ST02 HHZ JP , trigger
2012-09-15 18:52:49.900000, ST02 HHZ JP , trigger
2012-09-15 18:54:43.110000, ST02 HHZ JP , trigger
2012-09-15 19:03:12.130000, ST02 HHZ JP , trigger
2012-09-15 19:09:03.520000, ST02 HHZ JP , trigger
2012-09-15 19:17:11.710000, ST02 HHZ JP , trigger
2012-09-15 19:24:14.530000, ST02 HHZ JP , trigger
2012-09-15 19:25:23.130000, ST02 HHZ JP , trigger
2012-09-15 19:30:02.150000, ST02 HHZ JP , trigger
2012-09-15 19:35:08.420000, ST02 HHZ JP , trigger
2012-09-15 19:46:34.130000, ST02 HHZ JP , trigger
2012-09-15 20:15:05.460000, ST02 HHZ JP , trigger
2012-09-15 20:22:37.300000, ST02 HHZ JP , trigger
2012-09-15 21:11:50.850000, ST02 HHZ JP , trigger
2012-09-15 21:15:18.910000, ST02 HHZ JP , trigger
2012-09-15 21:57:46, ST02 HHZ JP , trigger
2012-09-15 22:22:36.370000, ST02 HHZ JP , trigger
2012-09-15 22:25:55.020000, ST02 HHZ JP , trigger
2012-09-15 22:32:01.940000, ST02 HHZ JP , trigger
2012-09-15 22:48:47.520000, ST02 HHZ JP , trigger
2012-09-15 22:48:56.730000, ST02 HHZ JP , trigger
2012-09-15 22:49:33.680000, ST02 HHZ JP , trigger
2012-09-15 22:53:27.640000, ST02 HHZ JP , trigger
2012-09-15 22:59:23.260000, ST02 HHZ JP , trigger
2012-09-15 23:26:24.210000, ST02 HHZ JP , trigger
2012-09-15 23:38:39.760000, ST02 HHZ JP , trigger
2012-09-15 23:48:31.010000, ST02 HHZ JP , trigger
2012-09-16 00:00:07.240000, ST02 HHZ JP , trigger
2012-09-16 00:17:31.590000, ST02 HHZ JP , trigger
2012-09-16 00:51:11.840000, ST02 HHZ JP , trigger
2012-09-16 00:57:22.680000, ST02 HHZ JP , trigger
2012-09-16 02:12:27.760000, ST02 HHZ JP , trigger
2012-09-16 02:45:01.070000, ST02 HHZ JP , trigger
2012-09-16 03:41:08.350000, ST02 HHZ JP , trigger
2012-09-16 03:42:22.920000, ST02 HHZ JP , trigger
2012-09-16 04:49:03.770000, ST02 HHZ JP , trigger
2012-09-16 05:27:19.210000, ST02 HHZ JP , trigger
2012-09-16 06:06:35.930000, ST02 HHZ JP , trigger
2012-09-16 07:54:47.600000, ST02 HHZ JP , trigger
2012-09-16 08:30:42.750000, ST02 HHZ JP , trigger
2012-09-16 08:35:46.870000, ST02 HHZ JP , trigger
2012-09-16 08:40:40.340000, ST02 HHZ JP , trigger
2012-09-16 08:41:01.900000, ST02 HHZ JP , trigger
2012-09-16 08:42:35.700000, ST02 HHZ JP , trigger
2012-09-16 08:49:57.290000, ST02 HHZ JP , trigger
2012-09-16 09:53:45.420000, ST02 HHZ JP , trigger
2012-09-16 10:12:39.870000, ST02 HHZ JP , trigger
2012-09-16 10:13:59.240000, ST02 HHZ JP , trigger
2012-09-16 10:21:32.570000, ST02 HHZ JP , trigger
2012-09-16 11:36:38.990000, ST02 HHZ JP , trigger
2012-09-16 12:11:50.600000, ST02 HHZ JP , trigger
2012-09-16 12:27:40.220000, ST02 HHZ JP , trigger
2012-09-16 12:32:07, ST02 HHZ JP , trigger
2012-09-16 12:32:49.940000, ST02 HHZ JP , trigger
2012-09-16 12:55:54.780000, ST02 HHZ JP , trigger
2012-09-16 13:15:36.220000, ST02 HHZ JP , trigger
2012-09-16 13:22:36.550000, ST02 HHZ JP , trigger
2012-09-16 13:32:46.320000, ST02 HHZ JP , trigger
2012-09-16 15:12:42.090000, ST02 HHZ JP , trigger
2012-09-16 15:36:01.840000, ST02 HHZ JP , trigger
2012-09-16 15:36:17.260000, ST02 HHZ JP , trigger
2012-09-16 15:45:32.100000, ST02 HHZ JP , trigger
2012-09-16 15:45:43.810000, ST02 HHZ JP , trigger
2012-09-16 16:08:20.800000, ST02 HHZ JP , trigger
2012-09-16 16:15:16.040000, ST02 HHZ JP , trigger
2012-09-16 16:17:23.040000, ST02 HHZ JP , trigger
2012-09-16 16:21:34.240000, ST02 HHZ JP , trigger
2012-09-16 17:25:54.340000, ST02 HHZ JP , trigger
2012-09-16 17:58:20.340000, ST02 HHZ JP , trigger
2012-09-16 18:15:44.310000, ST02 HHZ JP , trigger
2012-09-16 18:18:52.440000, ST02 HHZ JP , trigger
2012-09-16 18:22:19.660000, ST02 HHZ JP , trigger
2012-09-16 18:30:02.030000, ST02 HHZ JP , trigger
2012-09-16 19:20:52.740000, ST02 HHZ JP , trigger
2012-09-16 19:38:19.470000, ST02 HHZ JP , trigger
2012-09-16 19:48:25.160000, ST02 HHZ JP , trigger
2012-09-16 19:59:26.670000, ST02 HHZ JP , trigger
2012-09-16 20:10:09.250000, ST02 HHZ JP , trigger
2012-09-16 20:12:10.650000, ST02 HHZ JP , trigger
2012-09-16 20:19:27.640000, ST02 HHZ JP , trigger
2012-09-16 20:23:43.300000, ST02 HHZ JP , trigger
2012-09-16 20:37:13.740000, ST02 HHZ JP , trigger
2012-09-16 20:41:41.730000, ST02 HHZ JP , trigger
2012-09-16 20:42:44.090000, ST02 HHZ JP , trigger
2012-09-16 20:43:28.530000, ST02 HHZ JP , trigger
2012-09-16 22:08:43.110000, ST02 HHZ JP , trigger
2012-09-16 23:08:13.820000, ST02 HHZ JP , trigger
2012-09-16 23:16:23.490000, ST02 HHZ JP , trigger
2012-09-16 23:23:18.690000, ST02 HHZ JP , trigger
2012-09-16 23:26:00.740000, ST02 HHZ JP , trigger
2012-09-16 23:55:40.320000, ST02 HHZ JP , trigger
2012-09-17 00:59:28.170000, ST02 HHZ JP , trigger
2012-09-17 01:25:43.830000, ST02 HHZ JP , trigger
