Date,Time,Lat,Lon,Depth,Mag,Mt,Nst,Gap,Clo,RMS,Auth,Subsrc,DbId,JtId,Typ,Time UTC,Cluster,dt,Amplitude,FI
2009/01/02,08:27:08.2300,60.5445,-152.5233,9.73,1.3,l,0,143.0,7.0,0.13,AV,hypomag,60316158,,le,2009/01/02 08:27:08.2300,,,,
2009/01/12,01:18:41.4300,60.553,-152.5243,8.85,0.7,l,0,161.0,7.0,0.06,AV,hypomag,60319793,,le,2009/01/12 01:18:41.4300,,,,
2009/01/12,07:40:48.4300,60.5052,-152.7498,32.25,1.5,l,0,103.0,2.0,0.36,AV,hypomag,60319853,,lp,2009/01/12 07:40:48.4300,,,,
2009/01/19,09:07:31.4200,60.475,-152.748,4.91,0.4,l,0,135.0,2.0,0.27,AV,hypomag,60321193,,lp,2009/01/19 09:07:31.4200,90,1.30000300705,3332.25167868,-0.574606485665
2009/01/21,13:14:49.4400,60.3172,-152.6628,9.65,0.5,l,0,213.0,17.0,0.08,AV,hypomag,60321538,,ot,2009/01/21 13:14:49.4400,,,,
2009/01/23,03:15:04.2000,60.5262,-152.6192,10.33,-0.5,l,0,160.0,6.0,0.05,AV,hypomag,60321978,,le,2009/01/23 03:15:04.2000,,,,
2009/01/23,09:08:22.0600,60.5645,-152.8698,29.9,1.6,l,0,167.0,3.0,0.24,AV,hypomag,60322033,,lp,2009/01/23 09:08:22.0600,junk,4.88999560475,NaN,NaN
2009/01/24,20:26:23.5500,60.4937,-152.7767,-0.06,-0.3,l,0,151.0,4.0,0.14,AV,hypomag,60322348,,le,2009/01/24 20:26:23.5500,,,,
2009/01/25,10:47:46.4000,60.4607,-152.677,0.36,0.3,l,0,274.0,3.0,0.11,AV,hypomag,60322468,,lp,2009/01/25 10:47:46.4000,expired,1.00000463426,NaN,NaN
2009/01/25,11:34:52.9600,60.4837,-152.7453,4.43,0.8,l,0,117.0,3.0,0.11,AV,hypomag,60322488,,le,2009/01/25 11:34:52.9600,expired,9.7599953413,NaN,NaN
2009/01/25,12:14:06.4100,60.4762,-152.7497,4.22,0.9,l,0,128.0,2.0,0.17,AV,hypomag,60322523,,lp,2009/01/25 12:14:06.4100,expired,8.77999663353,NaN,NaN
2009/01/25,12:14:31.2000,60.4795,-152.7685,0.91,0.2,l,0,157.0,2.0,0.15,AV,hypomag,60322528,,lp,2009/01/25 12:14:31.2000,,,,
2009/01/25,12:14:56.6200,60.4843,-152.7382,4.22,0.8,l,0,124.0,2.0,0.14,AV,hypomag,60322533,,lp,2009/01/25 12:14:56.6200,expired,3.85999716818,NaN,NaN
2009/01/25,12:16:07.4100,60.5022,-152.7307,2.51,0.4,l,0,113.0,2.0,0.25,AV,hypomag,60322543,,le,2009/01/25 12:16:07.4100,,,,
2009/01/25,12:16:37.0500,60.4897,-152.752,1.98,0.7,l,0,126.0,3.0,0.15,AV,hypomag,60322548,,le,2009/01/25 12:16:37.0500,expired,2.36999318004,NaN,NaN
2009/01/25,13:48:43.6300,60.4855,-152.776,-1.4,1.1,l,0,159.0,3.0,0.06,AV,hypomag,60322558,,lp,2009/01/25 13:48:43.6300,173,1.27998702228,9108.06931379,-0.394287391566
2009/01/25,13:57:35.6800,60.4942,-152.7088,3.22,0.6,l,0,121.0,1.0,0.22,AV,hypomag,60322568,,lp,2009/01/25 13:57:35.6800,,,,
2009/01/25,13:58:53.6500,60.4608,-152.7577,3.5,0.7,l,0,273.0,0.0,0.21,AV,hypomag,60322583,,lp,2009/01/25 13:58:53.6500,173,3.74000184238,9002.85577958,-0.380265345176
2009/01/25,14:06:16.7900,60.4803,-152.7658,2.76,0.7,l,0,151.0,2.0,0.14,AV,hypomag,60322613,,le,2009/01/25 14:06:16.7900,,,,
2009/01/25,14:17:30.7900,60.4995,-152.7625,-2.94,0.6,l,0,133.0,3.0,0.11,AV,hypomag,60322633,,le,2009/01/25 14:17:30.7900,expired,8.21000374854,NaN,NaN
2009/01/25,14:42:15.5500,60.463,-152.7607,4.21,0.8,l,0,201.0,0.0,0.2,AV,hypomag,60322658,,lp,2009/01/25 14:42:15.5500,173,1.74000263214,7673.02297481,-0.349366764228
2009/01/25,15:05:00.9700,60.4673,-152.6792,3.58,0.4,l,0,280.0,3.0,0.15,AV,hypomag,60322668,,le,2009/01/25 15:05:00.9700,,,,
2009/01/25,15:09:34.5900,60.4807,-152.7608,0.98,0.5,l,0,143.0,2.0,0.13,AV,hypomag,60322678,,lp,2009/01/25 15:09:34.5900,expired,-1.02000050247,NaN,NaN
2009/01/25,15:19:19.8700,60.4965,-152.721,3.64,1.1,l,0,139.0,2.0,0.08,AV,hypomag,60322693,,lp,2009/01/25 15:19:19.8700,180,1.06999017298,6410.55725586,-0.203783780072
2009/01/25,15:19:45.4300,60.4917,-152.7705,1.88,0.8,l,0,147.0,3.0,0.15,AV,hypomag,60322698,,le,2009/01/25 15:19:45.4300,,,,
2009/01/25,15:25:25.2400,60.463,-152.7423,3.8,0.7,l,0,217.0,1.0,0.03,AV,hypomag,60322703,,lp,2009/01/25 15:25:25.2400,176,1.17999762297,10208.0785294,-0.254626932235
2009/01/25,17:13:37.0200,60.4943,-152.7247,1.27,-0.9,l,0,99.0,2.0,0.21,AV,hypomag,60322753,,lp,2009/01/25 17:13:37.0200,180,0.820001587272,9810.0111751,-0.209355071052
2009/01/25,17:29:30.8600,60.496,-152.7725,-2.95,-0.3,l,0,145.0,3.0,0.35,AV,hypomag,60322768,,le,2009/01/25 17:29:30.8600,,,,
2009/01/25,17:53:48.9500,60.4485,-152.6935,4.44,0.6,l,0,293.0,4.0,0.42,AV,hypomag,60322788,,le,2009/01/25 17:53:48.9500,,,,
2009/01/25,18:14:32.0600,60.4677,-152.6928,3.26,0.4,l,0,259.0,2.0,0.26,AV,hypomag,60322813,,lp,2009/01/25 18:14:32.0600,182,1.55999958515,6982.06196936,-0.202163946202
2009/01/25,18:16:32.5100,60.4895,-152.7075,4.52,0.7,l,0,126.0,1.0,0.3,AV,hypomag,60322818,,lp,2009/01/25 18:16:32.5100,,,,
2009/01/25,18:26:37.1100,60.499,-152.763,0.62,0.3,l,0,134.0,3.0,0.23,AV,hypomag,60322833,,lp,2009/01/25 18:26:37.1100,181,4.01000641286,5478.6926931,-0.568582912286
2009/01/25,19:15:46.2700,60.4698,-152.7347,4.37,0.4,l,0,187.0,1.0,0.06,AV,hypomag,60322868,,lp,2009/01/25 19:15:46.2700,,,,
2009/01/25,19:28:42.0500,60.4902,-152.7615,-3.0,0.8,l,0,138.0,3.0,0.15,AV,hypomag,60322888,,lp,2009/01/25 19:28:42.0500,,,,
2009/01/25,19:31:48.1900,60.4865,-152.7547,-0.47,0.2,l,0,130.0,3.0,0.32,AV,hypomag,60322893,,lp,2009/01/25 19:31:48.1900,,,,
2009/01/25,20:04:07.6600,60.4815,-152.7275,0.7,0.6,l,0,150.0,2.0,0.16,AV,hypomag,60322903,,lp,2009/01/25 20:04:07.6600,181,0.950004905462,7529.12501066,-0.0332433146735
2009/01/25,20:19:03.2900,60.4893,-152.7428,-3.0,0.1,l,0,115.0,3.0,0.27,AV,hypomag,60322918,,lp,2009/01/25 20:19:03.2900,,,,
2009/01/25,20:25:10.7900,60.5038,-152.7643,-1.76,0.3,l,0,132.0,2.0,0.26,AV,hypomag,60322923,,lp,2009/01/25 20:25:10.7900,,,,
2009/01/25,20:27:05.8000,60.46,-152.7403,3.62,1.2,l,0,245.0,1.0,0.03,AV,hypomag,60322933,,lp,2009/01/25 20:27:05.8000,181,1.37000866234,7752.80292741,-0.466555374364
